accepted_abs_delta,accepted_mse,accepted_rel_delta,candidate_count,chunks,device,elapsed_sec,elements,grad_clip,id,improved_chunks,initial_mse,log,lr,neighbor_candidates,optimizer_name,out,preset,raw_abs_delta,raw_best_mse,raw_rel_delta,restarts,result_dir,returncode,rotation_trick,scale_end,scale_start,stage,std,steps,strength,target_candidates,temp_end,temp_start,tensors,weight_decay
7.884449991656223e-08,2.956064438169253e-05,0.0026601167189993003,8,18,cuda:5,19.72326159477234,1179648,0.0,strength_0.1,10,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/strength_0.1/subprocess.log,0.05,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/strength_0.1,tuned,7.884449991656223e-08,2.956064438169253e-05,0.0026601167189993003,1,runtime/gsvq_iquant_hparam/20260516-041814/search/strength_0.1/20260516-042024_tuned,0,False,40.0,1.0,search,0.01,20,0.1,4,0.1,1.5,18,0.0
6.980048460213223e-08,2.956968839700696e-05,0.002354982735395363,8,18,cuda:7,20.355836629867554,1179648,0.0,lr_0.2,10,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/lr_0.2/subprocess.log,0.2,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/lr_0.2,tuned,6.980048460213223e-08,2.956968839700696e-05,0.002354982735395363,1,runtime/gsvq_iquant_hparam/20260516-041814/search/lr_0.2/20260516-041842_tuned,0,False,40.0,1.0,search,0.01,20,0.25,4,0.1,1.5,18,0.0
6.97993224700148e-08,2.956968955913908e-05,0.0023549435264831556,8,18,cuda:5,20.373507499694824,1179648,0.0,hard_scale100_lr01,12,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/hard_scale100_lr01/subprocess.log,0.1,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/hard_scale100_lr01,tuned,6.97993224700148e-08,2.956968955913908e-05,0.0023549435264831556,1,runtime/gsvq_iquant_hparam/20260516-041814/search/hard_scale100_lr01/20260516-042409_tuned,0,False,100.0,1.0,search,0.01,20,0.25,4,0.1,1.5,18,0.0
6.924821920822422e-08,2.957024066240087e-05,0.002336349978396281,8,18,cuda:6,20.41929793357849,1179648,0.0,hard_lr02_steps50_c8,8,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/hard_lr02_steps50_c8/subprocess.log,0.2,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/hard_lr02_steps50_c8,tuned,6.924821920822422e-08,2.957024066240087e-05,0.002336349978396281,1,runtime/gsvq_iquant_hparam/20260516-041814/search/hard_lr02_steps50_c8/20260516-042307_tuned,0,False,40.0,1.0,search,0.01,50,0.25,4,0.1,1.5,18,0.0
6.750436417254224e-08,2.957198451743655e-05,0.0022775144484501486,8,18,cuda:3,20.360503911972046,1179648,0.0,rot_trick,11,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/rot_trick/subprocess.log,0.05,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/rot_trick,tuned,6.750436417254224e-08,2.957198451743655e-05,0.0022775144484501486,1,runtime/gsvq_iquant_hparam/20260516-041814/search/rot_trick/20260516-042304_tuned,0,True,40.0,1.0,search,0.01,20,0.25,4,0.1,1.5,18,0.0
6.376346088169876e-08,2.9575725420727395e-05,0.0021513009598914893,16,18,cuda:7,19.864569187164307,1179648,0.0,cand_16_n8_t8,10,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/cand_16_n8_t8/subprocess.log,0.05,8,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/cand_16_n8_t8,tuned,6.376346088169876e-08,2.9575725420727395e-05,0.0021513009598914893,1,runtime/gsvq_iquant_hparam/20260516-041814/search/cand_16_n8_t8/20260516-041943_tuned,0,False,40.0,1.0,search,0.01,20,0.25,8,0.1,1.5,18,0.0
5.8789889105053506e-08,2.958069899250404e-05,0.0019834987485742995,8,18,cuda:6,20.378493547439575,1179648,0.0,hard_scale200_lr01,9,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/hard_scale200_lr01/subprocess.log,0.1,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/hard_scale200_lr01,tuned,5.8789889105053506e-08,2.958069899250404e-05,0.0019834987485742995,1,runtime/gsvq_iquant_hparam/20260516-041814/search/hard_scale200_lr01/20260516-042409_tuned,0,False,200.0,5.0,search,0.01,20,0.25,4,0.1,1.5,18,0.0
5.4699588266281186e-08,2.9584789293342812e-05,0.001845497015308572,8,18,cuda:6,19.99243712425232,1179648,0.0,scale_10_200,8,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/scale_10_200/subprocess.log,0.05,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/scale_10_200,tuned,5.4699588266281186e-08,2.9584789293342812e-05,0.001845497015308572,1,runtime/gsvq_iquant_hparam/20260516-041814/search/scale_10_200/20260516-042206_tuned,0,False,200.0,10.0,search,0.01,20,0.25,4,0.1,1.5,18,0.0
4.669942023206747e-08,2.9592789461377026e-05,0.001575581158588866,8,18,cuda:6,20.470731735229492,1179648,0.0,hard_c8_target_only_lr01,5,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/hard_c8_target_only_lr01/subprocess.log,0.1,0,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/hard_c8_target_only_lr01,tuned,4.669942023206747e-08,2.9592789461377026e-05,0.001575581158588866,1,runtime/gsvq_iquant_hparam/20260516-041814/search/hard_c8_target_only_lr01/20260516-042348_tuned,0,False,40.0,1.0,search,0.01,20,0.25,8,0.1,1.5,18,0.0
3.075148116396298e-08,2.960873740044513e-05,0.0010375172556718365,16,18,cuda:5,19.828209400177002,1179648,0.0,cand_16_n12_t4,8,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/cand_16_n12_t4/subprocess.log,0.05,12,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/cand_16_n12_t4,tuned,3.075148116396298e-08,2.960873740044513e-05,0.0010375172556718365,1,runtime/gsvq_iquant_hparam/20260516-041814/search/cand_16_n12_t4/20260516-042004_tuned,0,False,40.0,1.0,search,0.01,20,0.25,4,0.1,1.5,18,0.0
